attributes,definitions,aroma
Raw,Aromatics associated with uncooked products,FlavorFisher Whole Natural Almonds=3.0
Roasted,Brown impression characteristic of products cooked to a high temperature by dry heat. Does not include bitter or burnt notes,AromaFlavorLe Nez du café` n. 34 “roasted coffee”: 7.5(a)Medium roasted peanuts=6.5 (f)
Dark Roast,Dark brown impression characteristic of products cooked to a high temperature by dry heat Includes some bitter and burnt notes that are integral to the product,AromaflavorDark roasted peanuts=9.5 (f)
Burnt,"The dark brown carbon impression of an overcooked or overroasted product that can be sharp, bitter, and sour","AromaFlavorBenzyl disulfide=4.5 (a)Alf's Red Wheat Puffs (2 pieces in the mouth)=8.0 (a), 3.0 (f)Over Roasted PeanutsBurnt=7.5 (f)"
Acrid,"The sharp, pungent, bitter, acidic aromatics associated with products that are excessively roasted or browned","AromaFlavorAlf's Red Wheat Puffs=3.0 (a), 3.0 (f)Wright's Liquid Smoke=9.5 (a)"
Smoky,"An acute pungent aromatic that is a product of combustion of wood, leaves or nonnatural product","AromaFlavorBenzyl disulfide=3.5 (a)Wood Ashes=5.0 (a)Diamond Smoked Almonds=6.0 (a), 5.0 (f)"
Ashy,"Dry, dusty, dirty smoky aromatics associated with the residual of burnt products","AromaFlavorBenzyl disulfide=4.0 (a)Paper ashes=4.0 (a)Gerkens Midnight Black (BL80) cocoa Powder=2.5 (a), 3.5(f)"
Woody,"The sweet, brown, musty, dark aromatics associated with a bark of a tree","AromaFlavorDiamond Shelled Walnuts=4.0 (a), 4.0(f)Popsicle sticks=7.5 (a)"
Grain,"Light brown, dusty, musty, sweet aromatics associated with grains","AromaFlavorCereal Mix (dry)=5.0 (a), 8.0 (f)"
Malt,"Light brown, dusty, musty, sweet, sour and or slightly fermented aromatics associated with grains","AromaFlavorPost Grape Nuts Cereal=3.5(a), 8.0(f)"
Pungent,The sharp physically penetrating sensation in the nasal cavity,"AromaMajestic Mountain Sage Orange, Brazil Essential Oil=5.0"
Spice Brown,"Sweet, brown aromatics associated with spices such as cinnamon, clove, nutmeg, allspice","AromaFlavorPrivate Selection cinnamon sticks=3.0Private Selection NutmegClove=7.0Spice brown complex=10.5 (a), 10.5 (f)"
Nutmeg,"Sweet, brown, woody, pungent, petroleum like heavy aromatic with a slightly lemony impression",AromaMcCormick ground nutmeg=9.0
Clove,"A sweet, brown spicy, pungent, floral, citrus, medicinal, and slightly minty aromatic",AromaLe Nez du café` “clove” n.7=6.5
Cinnamon,"A sweet, brown, slightly woody, slightly pungent, spicy aromatic",AromaMcCormick cinnamon=13.0
Pepper,"Spicy, pungent, musty, and woody aromatics characteristic of ground black pepper",AromaMcCormick Ground Black Pepper=13.0
Anise,"A pungent, sweet, brown, caramelized aromatic that may contain petroleum, medicinal, and floral notes",AromaTone's Pure Anise extract: 7.5
Sweet,A fundamental taste factor of which sucrose is typical,Flavor1% Sucrose Solution=1.0
Honey,"Sweet, light brown, slightly spicy aromatics associated with honey","AromaFlavorBusy Bee Honey in water=6.0 (a), 6.5 (f)"
Maple Syrup,"A woody, sweet, caramelized, brown, slightly green aromatic associated with maple syrup",AromaFlavorLe nez du café Maple Syrup essence (n.24)=7.0 (a)Maple Grove Farms Pure Maple Syrup=5.0 (f)
Molasses,"Dark caramelized top notes which may include slightly sharp, acrid and sulfur notes characteristic of molasses","AromaFlavorGrandma's molasses=6.5 (a), 6.5 (f)"
Sweet Aromatics,An aromatic associated with the impression of a sweet substance,AromaFlavorFisher Scientific Vanillin in water (0.5 g250 ml)=5.0 (a)Fisher Scientific Vanillin in water (2 g250 ml)=7.0 (a)Nabisco Lorna Done Cookies=5.0 (f)
Overall Sweet,The perception of a combination of sweet taste and aromatics,FlavorPost Shredded Wheat 1.5General Mills Wheaties=3.0Nabisco Lorna Doone Cookies 5.0
Brown Sugar,"A rich, full round sweet aromatic impression characterized by some degree of darkness",AromaFlavorC&H Golden brown sugar=6.0 (a)C&H Golden brown sugar in water=5.0 (f)
Caramelized,A round full bodied medium brown sweet aromatic associated with cooked sugars and other carbohydrates. Does not include burnt or scorched notes,AromaFlavorLe Nez du café` n. 25 “caramel”=8.0 (a)6% C&H Golden brown sugar solution in water=4.5 (f)C&H Golden brown sugar in water=2.5 (f)Caramelized sugar=7.5 (f)
Vanilla,"A woody, slightly chemical aromatic associated with vanilla bean which may include brown, beany, floral, and spicy",AromaFlavorLe nez du café` Vanilla (n.10) essence=2.5 (a)Spice Island Bourbon Vanilla Bean=5.5 (a)McCormick pure vanilla extract in Hiland whole milk=3.0 (f)
Vanillin,"An extremely sweet nonnatural aromatic often associated with vanilla, cotton candy, and marshmallows",AromaFisher Scientific Vanillin in water (2 g250 ml)
Nutty,"A combination of slightly sweet, brown, woody, oily, musty, astringent, and bitter aromatics commonly associated with nuts, seeds, beans, and grains",AromaFlavorLe Nez du café n. 29 “roasted hazelnuts”=7.5(a)Mixture of Diamond Sliced Almonds and Diamond Shelled Walnuts=7.5 (f)
Hazelnut,"A woody, brown, sweet, mustyearthy, slightly cedar aromatic. May include floral, beany, oily, astringent, bitter flavor notes",AromaFlavor18 tsp McCormick Imitation Hazelnut extract in 1 cup whole milk= 3.5 (f)¼ tsp McCormick Imitation Hazelnut extract in 1 cup whole milk=6.0 (f)Le Nez du café n. 29 “roasted hazelnuts”=5.5 (a)
Almond,"A sweet light brown, woody, buttery, aromatic with floralfruity notes which may include rose, cherry, and apricot. It is also astringent and may slightly smoky",AromaLe Nez du Café n.27 “roasted almonds”=7.0
Peanuts,"A sweet, light brown, oily, somewhat mustydusty, beany aromatic which may be slightly astringent",AromaFlavorRoasted peanuts (shelled blanched peanuts from bulk)
Cocoa,"A brown, sweet, dusty, musty, often bitter aromatic associated with cocoa bean, powdered cocoa, and chocolate bars","AromaFlavorHershey's Cocoa Powder in water=7.5 (a), 5.0 (f)"
Chocolate,A blend of cocoa including cocoa butter and dark roast aromatics at varying intensities,"AromaFlavorNestle` Semi‐sweet chocolate chips (taste 1 chip)=8.0 (a), 7.5 (f)"
Dark Chocolate,"A highintensity blend of cocoa and cocoa butter that may include dark roast, spicy, burnt, must notes which include increased astringency and bitterness","AromaFlavorLindt Excellence Dark Chocolate bar 90% cocoa: 6.0 (a), 11.0 (f)Dove dark chocolate=8.5 (f)"
Floral,"Sweet, light, slightly fragrant aromatic associated with (fresh) flowers","AromaFlavorDiluted Welch's White Grape juice, diluted 1:1=6.0 (f), 5.0 (a)Carnation essence oil: 7.5 (a)Le Nez du café` n.12 “coffee blossom”=8.0 (a)"
Rose,"A sweet, soft, slightly mustydusty floral fragrance associated with fresh or dried roses",AromaRose water=5.0
Jasmine,"An intense, slightly pungent, sweet, floral aromatic with underlying green, mustydusty notes",AromaJasmine extract=8.5
Chamomile,"Sweet, slightly floralfruity somewhat woody, green associated with chamomile",AromaFlavorCelestial Chamomile tea (brewed)=5.0 (a) 5.0 (f)
Fruity,"A sweet, floral aromatic blend of a variety of ripe fruits","AromaFlavorJuicy Juice Nestle All Natural 100% Kiwi Strawberry diluted (1:1)=4.0 (f), 3.0 (a)Le Nez du café n.17 “Apple”=7.0 (a)"
Dried Fruit,An aromatic impression of dried fruit that is sweet and slightly brown associated with dried plums and raisins,"AromaFlavorDiluted Sunsweet prune juice=3(a), 4.5 (f)14 cup Sun‐Maid raisins and 14 cup of Sun Maid prunes (chopped), 34 cup of water=5.0 (a), 6.0 (f)"
Prune,"The aromatic impression of dark fruit associated with dried plums that are sweet, slightly brown, floral, musty, and overripe","AromaFlavor12 cup of Sun Maid prunes (chopped), 34 cup of water=4.5 (a), 5.0 (f)"
Raisins,"The concentrated sweet, somewhat sour, brown, fruity, floral aromatic characteristic of dried grapes","AromaFlavor12 cup Sun Maid raisins (chopped), 34 water=6.0 (a), 5.5 (f)"
Citrus Fruit,"The citric, sour, astringent, slightly sweet, peely, and somewhat floral aromatics which may include lemons, limes, grapefruits, and oranges",AromaFlavorPeels of lemon and lime=4.5 (a)Grapefruit peel=7.5 (a)Five Alive Frozen Concentrate=6.5 (f)
Lemon,"The citric, sour, astringent, slightly sweet, peely, and somewhat floral aromatics associated with lemon","AromaFlavorFresh lemon juice=5.0 (a),Fresh lemon juice in water (1:4)=7.0 (f)Le Nez du café n.15 “lemon”=5.5 (a)"
Lime,"The citric, sour, astringent, bitter, green, peely, sharp, and somewhat floral aromatics associated with limes",AromaFlavorLime peel: 6.5 (a)Rea Lime 100% Lime Juice=7.0 (f)
Grapefruit,"The citric sour, bitter, astringent, peely, sharp, slightly sweet aromatics associated with grapefruit",FlavorKroger 100% White Grapefruit Juice= 13.5 (f)
Orange,"The citric, sweet, floral, slightly sour aromatic associated with oranges, may include bitter, peely, and astringent notes","FlavorOrange juice Tropicana Pure premium, “Oxygen,” no pulp=10.0 (f)"
Berry,"The sweet, sour, floral, sometimes heavy aromatic associated with a variety of berries such as blackberries, raspberries, blueberries, strawberries","AromaFlavorPrivate Selection Triple Berry=9.0 (f), 10.0 (a)Welch's Farmers Pick Blackberry juice=7.5 (f)"
Blackberry,"Sweet, dark, fruity, floral, slightly sour, somewhat woody aromatics associated with blackberry",FlavorSmuckers Blackberry Jam=5.5
Raspberry,"Light sweet, fruity, floral, slightly sour, and musty aromatics associated with raspberries",FlavorJell‐O Raspberry Gelatin (dry)=6.5
Blueberry,"Slightly dark, fruity, sweet, slightly sour, musty, dusty, floral aromatics associated with blueberry",AromaFlavorOregon Blueberries in light syrup canned juice=6.5 (a)Oregon Blueberries canned=6.0 (f)Oregon Blueberries in light syrup canned=6.0 (f)
Strawberry,"Somewhat sweet, slightly sour, floral, fruity, frequently viney aromatics associated with strawberry","AromaFlavorChandler Frozen Strawberries=13(a), 6 (f)"
Pomegranate,"Sour, sweet fruity aromatics that may be somewhat dark, musty and earthy, reminiscent of dark fruits, and root vegetables such as beets and carrots; may also have an astringent mouthfeel","AromaFlavorKNUDSEN Organic Just Pomegranate Juice=5.5 (a), 7.5 (f)"
Grape,"The sweet fruity, floral, slightly sour, musty aromatics commonly associated with grapes",FlavorWelch's Concord Grape Juice diluted (1:1)=5.0
Cherry,"The sour fruity, slightly bitter, floral aromatics associated with cherries",FlavorRW Knudsen Cherry Juice diluted=4.0
Stone Fruit,"A sweet, light fruity, somewhat floral, sour, or green aromatics which may include—apples, grapes, peaches, pears, cherry",AromaLe Nez du café n.17 “Apple”=7.0 (a)
Peach,"The floral perfuming, fruity, sweet, slightly sour aromatics associated with peaches",AromaFlavorFresh Peach Pit=8.0 (a)Jell‐O Peach Gelatin (dry) =7.0 (f)
Pear,"The sweet, slightly floral, musty, woody, fruity, aromatics associated with pears",FlavorJumex Pear Nectar—can=7.5
Apple,"A sweet, light, fruity, somewhat floral, aromatic commonly associated with fresh or processed apples",AromaFlavorLe Nez du café n.17 “Apple”=5.0 (a) Gerber Apple sauce=6.0(f)
Pineapple,"Sweet, slightly sharp fruit aromatic associated with pineapple",AromaFlavorDole pineapple juice diluted (1:1)=6.5 (a) 6.0 (f)
Coconut,"Slightly sweet, nutty, somewhat woody aromatic associated with coconut",AromaCoconut imitation extract=7.5
Over‐ripe,"An aromatic of fruit or vegetable past their optimum ripeness which may include sweet, slightly sour, damp, musty earthy characteristics","AromaFlavorOverripe banana (1 week not refrigerated): 6.5 (a), 6.5 (f)"
Fermented,"Pungent, sweet, slightly sour, sometimes yeasty, alcohol like aromatics characteristics of fermented fruits or sugar or overproofed dough",AromaGuinness Dark Stout beer=5.0Blackberry WONF 3RA654 (drop on cotton ball)=7.0Silage=7.0
Sour Aromatics,An aromatic associated with the impression of a sour product,AromaBush Pinto Beans (canned)=2.0
Olive Oil,"A light oily aromatic which may have buttery, green, peppery, bitter, and sweet aromatics",AromaBertolli Extra Virgin Olive Oil: 8.5
Green,"Aromatic characteristic of fresh plantbased material. Attributes may include leafy, viney, unripe, grassy, peapod","AromaFlavorParsley water= 9.0 (a), 6.0 (f)"
Under‐ripe,An aromatic found in greenunderripe fruit,AromaGrapefruit peel: 7.5
Peapod,"Green aromatics that include sweet, beany, fresh, raw, mustyearthy",AromaLe nez du café` n. 3 “Garden peas”=7.0
Herb‐like,"The aromatic common associated with green herbs that may be characterized as sweet, slightly pungent, slightly bitter, and may or may not include green or brown notes","AromaFlavorMixture of McCormick bay leaves, McCormick ground thyme, and McCormick basil=6.0 (a), 5.0(f)"
Hay‐like,Slightly sweet dry dusty aromatic with a slight green character associated with dry grasses,"AromaFlavorMcCormick parsley Flakes=7.5 (a), 7.5 (f)"
Vegetative,"Sharp slightly pungent aromatics associated with greenplantvegetable matter such as parsley, spinach, pea pod, etc.",FlavorGreen Giant Canned asparagus=6.0
Fresh,A green aromatics associated with newly cut grass and leafy plants; characterized by sweet and pungent character,AromaFresh green grass=7.0
Dark Green,"The aromatics commonly associated with cooked green vegetables such as spinach, kale, green beans that may include bitter, sweet, dusty, musty, earthy, and may have a dark heavy impression","AromaFlavorGreen giant Green beans water: 5.0 (a), 6.0 (f)Del Monte Leaf Spinach water: 7.0 (a), 6.0 (f)"
Beany,"Aromatic characteristic of beans and bean products includes mustyearthy, mustydusty, sour aromatics, bitter aromatics, starchy and greenpea pod, nutty or brown","AromaFlavorBush Pinto Beans (canned)=7.0 (a), 7.5 (f)"
Tobacco,"The brown, slightly sweet, slightly pungent aromatic associated with cured tobacco",AromaLe Nez du café` n. 33 “pipe tobacco”=5.0Camel cigarettes (Turkish and Domestic blend)=7.0
Cigar,The aromatics associated with cigar tobacco,AromaCigar tobacco=10.5Unscented pipe tobacco=10.5
Pipe,"The brown, sweet, slightly pungent, fruity, floral, spicy aromatics associated with cured tobacco",AromaCarter Hall Pipe Tobacco: 6.5
Black Tea,"Green tea leaves that have been oxidized, or fermented, imparting a characteristic reddish brew",AromaFlavorLipton black tea leaves=8.0 (a)Lipton Black tea (brewed)=7.0 (f)
Animalic,A combination of aromatics associated with farm animals and lives animal habitation,AromaUnflavored gelatin=3.0
Meaty‐Brothy,"The aromatic associated with boiled meat, soup, or stock. Weak meaty notes",FlavorCampbell's beef broth=9.5
Fermented‐Winey,"Sharp, pungent, somewhat fruity alcohollike aromatic associated with red wine",FlavorYellow Tail Cabernet Sauvignon=10.0
Distilled‐Alcohol,A colorless pungent chemicallike aromatics associated with distilled spirits or grain products,AromaAbsolute Vodka 80 Proof=5.0
Whiskey,Aromatics associated with distilled products from fermented grain mash,AromaJack Daniel's Whiskey Old No.7=5.5 (a)
Dusty,"The aromatics associated with dry closed air spaces such as attics and closets. May be dry, musty, papery, dry soil or grain","AromaKretschmer Wheat Germ=5.02, 3, 4—Trimethoxybenzaldehyde=10.0"
Earthy,"Somewhat sweet, heavy aromatics associated with decaying vegetation and damp black soil",AromaMiracle Soil Potting soil=9.0Le Nez du café` n.1 “earthy”=12.0
Moldy‐Damp,"The aromatics associated with damp closed spaces or basements. May be musty, sharp, and slightly green","Aroma2‐Ethyl‐1‐Hexanol 10,000 ppm=6.0 (a)2,3,5,6—Tetrachloroanisole=10.0 (a)"
Phenolic,"The aromatic described as damp, musty, and like animal hide. Reminiscent of a tack room",AromaPhenyl acetic acid=6.0
Stale,The aromatics characterized by lack of freshness,"AromaFlavorMama Mary's Pizza Crust=4.5 (a), 4.0 (f)"
Papery,The aromatics associated with white paper cups,FlavorPure Brew Coffee Filters=2.5 (f)
Cardboard,The aromatic associated with cardboard or paper packaging,AromaCardboard=7.5
Rubber,A dark heavy slightly sharp and pungent aromatic associated with rubber,AromaA&W Rubber bands=5.0
Petroleum,A specific chemical aromatic associated with crude oil and its refined products that have heavy oil characteristics,AromaVaseline Petroleum Jelly: 3.0
Medicinal,"A clean, sterile aromatic characteristic of antisepticlike products such as BandAids, alcohol, and iodine",AromaLe Nez du café n. 35 “medicinal”=6.0Johnson & Johnson Band‐Aid adhesive Bandage (2.5 × 7.6 cm size)=6.0
Skunky,A combination of aromatics associated with skunks. Somewhat like the aroma of urine,AromaFlavorLatex Balloon=2.5 (a)
Metallic,An aromatic and mouthfeel associated with tin cans or aluminum foil,Flavor0.10% Potassium Chloride Solution=1.5
Bitter,The fundamental taste factor associated with a caffeine solution,Flavor0.02% Caffeine Solution=3.50.035% Caffeine Solution=5.00.05% Caffeine solution=6.50.06% Caffeine solution=8.50.07% Caffeine solution=10.00.1% Caffeine solution=12.0
Sour,The fundamental taste factor associated with a citric acid solution,Flavor0.015% Citric Acid Solution=1.50.05% Citric Acid Solution=3.5
Salty,A fundamental taste factor of which sodium chloride is typical,Flavor0.15% Sodium Chloride Solution=1.5
Butyric Acid,"A sour, fermented dairy aromatic associated with certain aged cheeses such as parmesan",AromaFlavor0.4 µll Butyric acid solution=2.5 (a) 3.0 (f)
Citric Acid,"A mild, clean, sour aromatic with slight citrus notes accompanies by astringency","AromaFlavor0.025% Citric Acid Solution=0 (a), 2.5 (f)0.05% Citric Acid Solution=0 (a), 3.5 (f)"
Isovaleric Acid,"A pungent, sour aromatic associated with sweaty, perspiration generated foot odor and certain aged cheeses such as Romano",AromaFlavor0.2 µll Isovaleric acid solution=3.0 (a) 4.0 (f)
Malic Acid,"A sour, sharp somewhat fruity aromatic accompanied by astringency",Flavor0.5 gl malic acid solution=3.01 gl malic acid solution= 5.0
Acetic Acid,"A sour astringent, slightly pungent aromatic associated with vinegar","AromaFlavor0.5% acetic acid solution= 2.0 (a), 2.0 (f)1% acetic acid solution=2.5 (a), 3.0 (f)2% acetic acid solution=3.0 (a) 4.5 (f)"
Overall Impact,The maximum overall sensory impression during the whole tasting time,Starbucks Dark French Roast Coffee (brewed) = 12.0 (f)Folgers Classic Roast Ground Coffee (brewed) = 6.0 (f)Illy Whole Bean Dark Roast Coffee (brewed) = 5.0 (f)
Blended,The melding of individual sensory notes such that the products present a unified overall sensory experience as opposed to spikes or individual notes,Folgers Classic Roast Ground Coffee (brewed) = 8.0 (f)Starbucks Dark French Roast Coffee (brewed) = 6.0 (f)Illy Whole Bean Dark Roast Coffee (brewed) = 5.0 (f)
Longevity,The time that the full integrated sensory experience sustains itself in the mouth and after swallowing,Starbucks Dark French Roast Coffee (brewed) = 9.0 (f)Illy Whole Bean Dark Roast Coffee (brewed) = 7.0 (f)Folgers Classic Roast Ground Coffee (brewed) = 4.0 (f)
Coffee ID (Fullness),The foundation of flavor notes that gives substance to the product. The perception of robust flavor that is rounded with body. A fullrounded coffee identity,Starbucks Dark French Roast Coffee (brewed) = 11.0 (f)Folgers Classic Roast Ground Coffee (brewed) = 8.0 (f)Illy Whole Bean Dark Roast Coffee (brewed) = 7.0 (f)
Fidelity,"The total sensory experience of the trueness of the product in the stated context; its believability as coffee. Note: Does not imply any particular quality of coffee. Judged only when there is a stated context, e.g., fidelity of the sample in the context of “fullbodied coffee with peach, apricot, honey notes.”",Starbucks Dark French Roast Coffee (brewed) = 11.0 (f)Folgers Classic Roast Ground Coffee (brewed) = 8.0 (f)Illy Whole Bean Dark Roast Coffee (brewed) = 7.0 (f)
Mouth Drying,A drying puckering or tingling sensation on the surface andor edge of the tongue and mouth,Texture:0.05% Alum Solution=2.50.07% Alum Solution=3.5
Viscosity,The thick feel of the beverage as you press your tongue through it,Texture: 5% sucrose solution=2.0 Campbell's Tomato Juice=4.0
Oily,The amount of fatoily film left on surfaces of mouth after swallowing or expectorating,Texture: Horizon Organic low‐fat UHT milk=3.0 Kroger Half n’ Half=6.0
