Market_Year,Algeria,Angola,Argentina,Australia,Benin,Bolivia,Brazil,Burundi,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Costa Rica,Croatia,Cuba,Democratic Republic of the Congo,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Ethiopia,European Union,Gabon,Ghana,Guatemala,Guinea,Guyana,Haiti,Honduras,India,Indonesia,Iran,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Laos,Liberia,Madagascar,Malawi,Malaysia,Mexico,Morocco,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Republic of Congo,Republic of Serbia,Russia,Rwanda,Sierra Leone,Singapore,South Africa,South Korea,Sri Lanka,Switzerland,Taiwan,Tanzania,Thailand,Togo,Trinidad and Tobago,Turkey,Uganda,Ukraine,United States of America,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
1961,0.0,50.0,0.0,0.0,0.0,28.0,29800.0,222.0,168.0,0.0,0.0,0.0,0.0,7260.0,951.0,0.0,700.0,104.0,550.0,584.0,0.0,1452.0,0.0,1687.0,0.0,0.0,0.0,1500.0,0.0,0.0,421.0,291.0,710.0,125.0,0.0,0.0,18.0,0.0,0.0,0.0,566.0,0.0,0.0,37.0,2.0,0.0,2100.0,0.0,10.0,0.0,437.0,0.0,0.0,67.0,32.0,40.0,598.0,3.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,308.0,0.0,0.0,1.0,0.0,150.0,0.0,277.0,902.0,3.0,90.0,0.0,0.0
1962,0.0,56.0,0.0,0.0,0.0,34.0,39600.0,207.0,147.0,0.0,0.0,0.0,0.0,7571.0,1073.0,0.0,750.0,106.0,649.0,715.0,0.0,1930.0,0.0,2007.0,0.0,0.0,0.0,1700.0,0.0,0.0,746.0,315.0,489.0,131.0,0.0,0.0,24.0,0.0,0.0,0.0,525.0,0.0,0.0,36.0,1.0,0.0,2350.0,0.0,12.0,0.0,432.0,0.0,0.0,84.0,53.0,44.0,670.0,4.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,200.0,0.0,0.0,1.0,0.0,150.0,0.0,316.0,714.0,2.0,90.0,0.0,0.0
1963,0.0,50.0,0.0,0.0,0.0,38.0,28900.0,192.0,221.0,0.0,0.0,0.0,0.0,7180.0,952.0,0.0,630.0,130.0,625.0,609.0,0.0,1638.0,0.0,2073.0,0.0,0.0,0.0,1929.0,0.0,0.0,590.0,405.0,620.0,126.0,0.0,0.0,21.0,0.0,0.0,0.0,635.0,0.0,0.0,41.0,3.0,0.0,2202.0,0.0,12.0,0.0,535.0,0.0,0.0,73.0,76.0,103.0,827.0,4.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,300.0,0.0,0.0,1.0,0.0,220.0,0.0,380.0,874.0,2.0,82.0,0.0,0.0
1964,0.0,54.0,0.0,0.0,0.0,38.0,23200.0,84.0,235.0,0.0,0.0,0.0,0.0,7556.0,1043.0,0.0,475.0,158.0,755.0,599.0,0.0,1904.0,0.0,2205.0,0.0,0.0,0.0,1712.0,0.0,0.0,562.0,390.0,699.0,155.0,0.0,0.0,26.0,0.0,0.0,0.0,724.0,0.0,0.0,33.0,2.0,0.0,2900.0,0.0,12.0,0.0,533.0,0.0,0.0,76.0,105.0,119.0,800.0,4.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,340.0,0.0,0.0,1.0,0.0,190.0,0.0,278.0,872.0,2.0,80.0,0.0,1.0
1965,0.0,50.0,0.0,0.0,0.0,58.0,11000.0,256.0,312.0,0.0,0.0,0.0,0.0,8428.0,845.0,0.0,600.0,117.0,758.0,760.0,0.0,2052.0,0.0,2416.0,0.0,0.0,0.0,1660.0,0.0,0.0,588.0,479.0,700.0,141.0,0.0,0.0,23.0,0.0,0.0,0.0,730.0,0.0,0.0,45.0,3.0,0.0,2650.0,0.0,12.0,0.0,610.0,0.0,0.0,72.0,138.0,99.0,872.0,4.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,352.0,1.0,0.0,1.0,0.0,175.0,0.0,344.0,786.0,2.0,90.0,0.0,1.0
1966,0.0,61.0,0.0,0.0,0.0,59.0,37700.0,217.0,343.0,0.0,0.0,0.0,0.0,8200.0,1001.0,0.0,460.0,103.0,709.0,934.0,0.0,1810.0,0.0,2234.0,0.0,0.0,0.0,2095.0,0.0,0.0,613.0,461.0,694.0,153.0,0.0,0.0,22.0,0.0,0.0,0.0,859.0,0.0,0.0,28.0,1.0,0.0,3000.0,0.0,12.0,0.0,513.0,0.0,0.0,72.0,171.0,106.0,826.0,5.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,507.0,1.0,0.0,1.0,0.0,250.0,0.0,272.0,907.0,3.0,75.0,0.0,1.0
1967,0.0,74.0,0.0,0.0,0.0,72.0,21000.0,240.0,392.0,0.0,0.0,0.0,0.0,7600.0,1164.0,0.0,450.0,163.0,576.0,852.0,0.0,1935.0,0.0,2426.0,0.0,0.0,0.0,1726.0,0.0,0.0,446.0,431.0,738.0,172.0,0.0,0.0,22.0,0.0,0.0,0.0,923.0,0.0,0.0,36.0,2.0,0.0,2700.0,0.0,12.0,0.0,421.0,0.0,0.0,84.0,202.0,65.0,789.0,5.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,563.0,1.0,0.0,1.0,0.0,200.0,0.0,264.0,898.0,3.0,60.0,1.0,2.0
1968,0.0,69.0,0.0,0.0,0.0,92.0,24500.0,205.0,358.0,0.0,0.0,0.0,0.0,8000.0,1313.0,0.0,450.0,180.0,706.0,1065.0,0.0,2393.0,0.0,2153.0,0.0,0.0,0.0,1792.0,0.0,0.0,534.0,495.0,684.0,207.0,0.0,0.0,26.0,0.0,0.0,0.0,652.0,0.0,0.0,41.0,3.0,0.0,2900.0,0.0,12.0,0.0,556.0,0.0,0.0,86.0,200.0,61.0,952.0,6.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,418.0,1.0,0.0,1.0,0.0,250.0,0.0,279.0,687.0,2.0,60.0,1.0,2.0
1969,0.0,70.0,0.0,0.0,0.0,59.0,17000.0,268.0,376.0,0.0,0.0,0.0,0.0,7900.0,1228.0,0.0,500.0,175.0,602.0,925.0,0.0,1817.0,0.0,1988.0,0.0,0.0,0.0,1716.0,0.0,0.0,564.0,514.0,885.0,183.0,0.0,0.0,17.0,0.0,0.0,0.0,803.0,0.0,0.0,45.0,3.0,0.0,2865.0,0.0,10.0,0.0,504.0,0.0,0.0,75.0,280.0,67.0,940.0,6.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,610.0,1.0,0.0,1.0,0.0,410.0,0.0,231.0,898.0,2.0,70.0,1.0,7.0
