Country_Name,Arabica_Production,Bean_Exports,Bean_Imports,Beginning_Stocks,Domestic_Consumption,Ending_Stocks,Exports,Imports,Other_Production,Production,Roast_&_Ground_Exports,Roast_&_Ground_Imports,Robusta_Production,"Rst,Ground_Dom._Consum",Soluble_Dom._Cons.,Soluble_Exports,Soluble_Imports,Total_Distribution,Total_Supply
Algeria,0.0,0.0,2300.0,0.0,2340.0,0.0,0.0,2340.0,0.0,0.0,0.0,0.0,0.0,2300.0,40.0,0.0,40.0,2340.0,2340.0
Angola,0.0,7.0,0.0,0.0,13.0,0.0,7.0,0.0,0.0,20.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,20.0,20.0
Argentina,0.0,0.0,450.0,0.0,735.0,0.0,0.0,735.0,0.0,0.0,0.0,25.0,0.0,475.0,260.0,0.0,260.0,735.0,735.0
Australia,0.0,0.0,1610.0,0.0,2040.0,0.0,0.0,2040.0,0.0,0.0,0.0,165.0,0.0,1775.0,265.0,0.0,265.0,2040.0,2040.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,85.0,24.0,0.0,0.0,61.0,0.0,24.0,0.0,0.0,85.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,85.0,85.0
Brazil,48200.0,37376.0,0.0,1919.0,23200.0,2164.0,41422.0,67.0,0.0,64800.0,23.0,67.0,16600.0,22020.0,1180.0,4023.0,0.0,66786.0,66786.0
Burundi,200.0,195.0,0.0,0.0,5.0,0.0,195.0,0.0,0.0,200.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,200.0,200.0
Cameroon,50.0,275.0,0.0,40.0,80.0,35.0,275.0,0.0,0.0,350.0,0.0,0.0,300.0,75.0,5.0,0.0,0.0,390.0,390.0
Canada,0.0,0.0,3135.0,0.0,4885.0,0.0,0.0,4885.0,0.0,0.0,0.0,350.0,0.0,3485.0,1400.0,0.0,1400.0,4885.0,4885.0
