Country_Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805.0,1970.0,1930.0,2085.0,1840.0,2050.0,2070.0,2080.0,1815.0,2270.0,1945.0,2300.0,2195.0,2320.0,2205.0,2300.0,2340.0,2440.0
Angola,0.0,60.0,63.0,64.0,67.0,70.0,72.0,75.0,78.0,81.0,85.0,89.0,92.0,97.0,89.0,73.0,60.0,52.0,48.0,45.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,293.0,45.0,43.0,45.0,45.0,51.0,59.0,27.0,74.0,52.0,38.0,10.0,25.0,20.0,20.0,20.0,20.0,15.0,20.0,25.0,25.0,31.0,31.0,31.0,26.0,30.0,22.0,27.0,24.0,13.0,14.0,13.0,13.0,13.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,672.0,666.0,661.0,686.0,700.0,685.0,745.0,810.0,750.0,835.0,685.0,710.0,741.0,754.0,775.0,735.0,750.0
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.0,915.0,1010.0,1130.0,1145.0,1245.0,1340.0,1395.0,1445.0,1600.0,1660.0,1615.0,1775.0,1785.0,1730.0,1900.0,2040.0,1965.0
Benin,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,0.0,11.0,12.0,12.0,13.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,22.0,24.0,26.0,29.0,29.0,28.0,31.0,33.0,34.0,34.0,35.0,36.0,35.0,37.0,38.0,41.0,42.0,43.0,44.0,45.0,30.0,30.0,35.0,35.0,40.0,40.0,45.0,45.0,60.0,60.0,60.0,60.0,80.0,80.0,80.0,80.0,80.0,80.0,75.0,75.0,68.0,59.0,62.0,55.0,49.0,54.0,59.0,61.0,60.0
Brazil,0.0,9001.0,13220.0,6741.0,9520.0,8131.0,8100.0,8620.0,8750.0,8750.0,8740.0,8890.0,8829.0,7000.0,7000.0,7500.0,8000.0,7500.0,7500.0,8000.0,8000.0,7975.0,8000.0,7600.0,8000.0,9500.0,8800.0,8000.0,8000.0,8000.0,8000.0,9000.0,9000.0,8500.0,9400.0,9700.0,10500.0,11000.0,11500.0,12500.0,12800.0,13100.0,13700.0,13500.0,14400.0,15500.0,15915.0,16720.0,17390.0,18030.0,18760.0,19420.0,20025.0,20110.0,20210.0,20420.0,20855.0,21625.0,22420.0,23200.0,23530.0
Burundi,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Cameroon,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,12.0,14.0,17.0,25.0,26.0,26.0,26.0,26.0,27.0,26.0,27.0,28.0,32.0,33.0,35.0,45.0,55.0,55.0,80.0,133.0,45.0,35.0,35.0,30.0,25.0,25.0,65.0,30.0,100.0,100.0,100.0,100.0,100.0,15.0,69.0,69.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,65.0,74.0,70.0,80.0,65.0,75.0,80.0,80.0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170.0,2500.0,3065.0,3205.0,3570.0,3860.0,3725.0,4085.0,4245.0,4170.0,4230.0,4605.0,4495.0,4545.0,4550.0,4750.0,4885.0,4850.0
