Market_Year,Algeria,Angola,Argentina,Australia,Benin,Bolivia,Brazil,Burundi,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Costa Rica,Croatia,Cuba,Democratic Republic of the Congo,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Ethiopia,European Union,Gabon,Ghana,Guatemala,Guinea,Guyana,Haiti,Honduras,India,Indonesia,Iran,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Laos,Liberia,Madagascar,Malawi,Malaysia,Mexico,Morocco,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Republic of Congo,Republic of Serbia,Russia,Rwanda,Sierra Leone,Singapore,South Africa,South Korea,Sri Lanka,Switzerland,Taiwan,Tanzania,Thailand,Togo,Trinidad and Tobago,Turkey,Uganda,Ukraine,United States of America,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,0.0,2450.0,0.0,0.0,36.0,0.0,0.0,10.0,687.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0,0.0,10.0,0.0,0.0,60.0,0.0,0.0,14.0,54.0,0.0,200.0,1.0,0.0,0.0,515.0,1202.0,0.0,3134.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,896.0,0.0,12.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,236.0,5.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,5.0,0.0,0.0,154.0,1.0,167.0,37.0,0.0,1775.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
1962,0.0,2744.0,0.0,0.0,30.0,0.0,0.0,10.0,396.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,13.0,0.0,0.0,60.0,0.0,0.0,19.0,38.0,0.0,235.0,1.0,0.0,0.0,280.0,1723.0,0.0,1608.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,836.0,0.0,13.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,278.0,8.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,7.0,0.0,0.0,100.0,1.0,196.0,27.0,0.0,1873.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
1963,0.0,2450.0,0.0,0.0,18.0,0.0,0.0,10.0,529.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,737.0,0.0,17.0,0.0,0.0,60.0,0.0,0.0,24.0,40.0,0.0,215.0,1.0,0.0,0.0,408.0,1630.0,0.0,3140.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,976.0,0.0,14.0,0.0,0.0,20.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,263.0,11.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,7.0,0.0,0.0,148.0,1.0,119.0,58.0,0.0,2731.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
1964,0.0,2637.0,0.0,0.0,20.0,0.0,0.0,10.0,621.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,892.0,0.0,20.0,0.0,0.0,60.0,0.0,0.0,16.0,116.0,0.0,175.0,1.0,0.0,0.0,542.0,2095.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,800.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,95.0,0.0,0.0,2.0,0.0,0.0,260.0,11.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,9.0,0.0,0.0,169.0,1.0,280.0,61.0,0.0,2344.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
1965,0.0,2437.0,0.0,0.0,12.0,0.0,0.0,10.0,551.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,0.0,23.0,0.0,0.0,65.0,0.0,0.0,24.0,32.0,0.0,150.0,2.0,0.0,0.0,308.0,1839.0,0.0,3342.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1072.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,45.0,0.0,0.0,3.0,0.0,0.0,271.0,8.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,9.0,0.0,0.0,176.0,1.0,144.0,55.0,0.0,2278.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
1966,0.0,2996.0,0.0,0.0,11.0,0.0,0.0,10.0,833.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,26.0,0.0,0.0,63.0,0.0,0.0,18.0,100.0,0.0,169.0,3.0,0.0,0.0,460.0,2034.0,0.0,4343.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,672.0,0.0,12.0,0.0,0.0,20.0,0.0,0.0,74.0,0.0,0.0,4.0,0.0,0.0,278.0,22.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,9.0,0.0,0.0,253.0,1.0,249.0,40.0,0.0,2328.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
1967,0.0,3617.0,0.0,0.0,18.0,0.0,0.0,10.0,801.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0,0.0,47.0,0.0,0.0,65.0,0.0,0.0,13.0,66.0,0.0,61.0,3.0,0.0,0.0,646.0,2272.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,856.0,0.0,12.0,0.0,0.0,20.0,0.0,0.0,44.0,0.0,0.0,7.0,0.0,0.0,297.0,11.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,9.0,0.0,0.0,281.0,1.0,58.0,44.0,0.0,2537.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0
1968,0.0,3389.0,0.0,0.0,7.0,0.0,0.0,10.0,846.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,33.0,0.0,0.0,73.0,0.0,0.0,16.0,113.0,0.0,103.0,3.0,0.0,0.0,362.0,2796.0,0.0,4712.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,996.0,0.0,14.0,0.0,0.0,20.0,0.0,0.0,52.0,0.0,0.0,10.0,0.0,0.0,295.0,16.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,9.0,0.0,0.0,209.0,2.0,173.0,72.0,0.0,2028.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
1969,0.0,3455.0,0.0,0.0,28.0,0.0,0.0,10.0,818.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,0.0,49.0,0.0,0.0,63.0,0.0,0.0,7.0,92.0,0.0,76.0,3.0,0.0,0.0,425.0,2356.0,0.0,3328.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1075.0,0.0,12.0,0.0,0.0,18.0,0.0,0.0,75.0,0.0,0.0,15.0,0.0,0.0,293.0,21.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,9.0,0.0,0.0,341.0,3.0,277.0,43.0,0.0,3708.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
